,Precision,Recall,F1_Score
economic,0.8557692307692307,0.6846153846153846,0.7606837606837608
environmental,0.7049180327868853,0.86,0.7747747747747747
foreign policy,0.7804878048780488,0.7441860465116279,0.7619047619047619
governance,0.7368421052631579,0.12727272727272726,0.21705426356589144
immigration,0.96,0.8,0.8727272727272726
military,0.8333333333333334,0.7407407407407407,0.7843137254901962
safety,0.8363636363636363,0.647887323943662,0.7301587301587302
social cultural,0.8367346938775511,0.5256410256410257,0.6456692913385826
social programs,0.8852459016393442,0.72,0.7941176470588235
covid,0.20512820512820512,0.9411764705882353,0.3368421052631579
health,0.9038461538461539,0.5108695652173914,0.6527777777777778
education,0.8275862068965517,0.8275862068965517,0.8275862068965518
