,Precision,Recall,F1_Score
economic,0.2647058823529412,0.06923076923076923,0.10975609756097561
environmental,0.07608695652173914,0.14,0.09859154929577466
foreign policy,0.0,0.0,ZeroDivisionError
governance,0.08653846153846154,0.08181818181818182,0.08411214953271028
immigration,0.04918032786885246,0.1,0.06593406593406594
military,0.0975609756097561,0.14814814814814814,0.11764705882352941
safety,0.10526315789473684,0.028169014084507043,0.044444444444444446
social cultural,0.08,0.02564102564102564,0.038834951456310676
social programs,0.08333333333333333,0.02666666666666667,0.04040404040404041
covid,0.0,0.0,ZeroDivisionError
health,0.14285714285714285,0.07608695652173914,0.09929078014184398
education,0.21311475409836064,0.4482758620689655,0.28888888888888886
