,Precision,Recall,F1_Score
covid,0.96875,0.9117647058823529,0.9393939393939394
economic,0.92,0.5307692307692308,0.6731707317073171
education,0.9130434782608695,0.7241379310344828,0.8076923076923077
environmental,0.9534883720930233,0.82,0.8817204301075268
foreign policy,0.95,0.4418604651162791,0.6031746031746031
governance,0.8936170212765957,0.38181818181818183,0.535031847133758
health,0.9565217391304348,0.4782608695652174,0.6376811594202899
immigration,1.0,0.7,0.8235294117647058
military,0.8571428571428571,0.4444444444444444,0.5853658536585366
safety,1.0,0.6056338028169014,0.7543859649122806
social cultural,0.9736842105263158,0.47435897435897434,0.6379310344827587
social programs,0.9310344827586207,0.72,0.81203007518797
