Gold Label,words,m_label,covid,economic,education,environmental,foreign policy,governance,health,immigration,military,safety,social cultural,social programs
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"economist,race","economic,social cultural",0,economist,0,0,0,0,0,0,0,0,race,0
"education,social programs","young woman,debt,college student,student,college","education,social cultural,social programs",0,0,correct label,0,0,0,0,0,0,0,young woman,correct label
social programs,"security benefits,social security benefits,social security",social programs,0,0,0,0,0,0,0,0,0,0,0,correct label
social programs,"expand social,social security benefits,social security,congress,income,security benefits","economic,governance,social programs",0,income,0,0,0,congress,0,0,0,0,0,"social security benefits,expand social,social security,security benefits"
no topic,corruption,governance,0,0,0,0,0,corruption,0,0,0,0,0,0
economic,"workers,fed",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
"health,social programs,economic","healthcare,middle class","economic,health",0,correct label,0,0,0,0,correct label,0,0,0,0,0
"environmental,governance,health,social programs,economic","health,federal,incomes,tax,health insurance,wealth tax,wealth,economic","economic,governance,health,social programs",0,correct label,0,0,0,correct label,correct label,0,0,0,0,correct label
"education,social cultural,social programs","black,debt,student debt crisis,student,borrowers,loans,student debt,default","education,social cultural,social programs",0,0,correct label,0,0,0,0,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"safety,economic","criminal justice system,civil rights issue,debt,criminal,middle income,economy,income,criminal justice","economic,safety,social cultural,social programs",0,correct label,0,0,0,0,0,0,0,correct label,civil rights issue,debt
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
safety,"second amendment,amendment rights,criminals,gun owners,gun,law abiding gun","governance,safety",0,0,0,0,0,amendment rights,0,0,0,"second amendment,gun,gun owners,law abiding gun,criminals",0,0
safety,"second amendment,amendment rights,guns away,abiding citizens,guns,law abiding citizens,constitutional rights","governance,safety",0,0,0,0,0,"amendment rights,constitutional rights",0,0,0,"second amendment,guns,guns away,law abiding citizens,abiding citizens",0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"high school,school",education,0,0,"school,high school",0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,health,social programs","health,raise wages,economy,drug costs,costs,health care,wages,prescription,guarantee health,prescription drug","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
