Gold Label,words,m_label
"social programs,economic","school,jobs,wages","economic,education"
economic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,jobs,economic
governance,,no topic
environmental,"climate crisis,fuel companies,fossil,fuel,fossil fuel,climate",environmental
no topic,"federal,wealthy","economic,governance"
"governance,foreign policy","congress,militarily","foreign policy,governance"
"military,foreign policy","u.s. troops,troops","foreign policy,military"
"covid,health,economic",economic,economic
"health,social programs,economic","small business,business,employee,healthcare","economic,health"
no topic,,no topic
governance,,no topic
governance,impeachment,governance
no topic,,no topic
"health,social programs",drugs,safety
governance,,no topic
governance,,no topic
"covid,foreign policy,health,immigration","chinese,borders,virus,chinese virus","covid,foreign policy,immigration"
"covid,health,social programs","vaccine,coronavirus","covid,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,,no topic
economic,economy,economic
no topic,,no topic
no topic,,no topic
"covid,health","disinfectants,health","covid,health"
economic,"american workers,workers",economic
"immigration,environmental","climate,refugee","environmental,immigration"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,immigration,social cultural,safety","criminal justice,discrimination,immigration,disabilities,criminal,democracy","governance,immigration,safety,social cultural"
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
economic,"tax,wealthy",economic
social cultural,,no topic
social cultural,,no topic
governance,,no topic
"social programs,economic",affordable,social programs
"health,social cultural,social programs","color,black,health,health care","health,social cultural,social programs"
no topic,,no topic
"economic,social cultural,immigration",racial,social cultural
no topic,congress,governance
no topic,,no topic
no topic,,no topic
"governance,foreign policy","supreme court,london,impeachment,kingdom","foreign policy,governance"
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,,no topic
no topic,,no topic
economic,,no topic
safety,"criminal justice,criminal,criminal justice system",safety
economic,"congress,economy,workers","economic,governance"
no topic,,no topic
governance,voting rights,governance
"governance,safety",lobbying,governance
no topic,,no topic
no topic,,no topic
"education,social cultural,social programs,economic","public college,hbcus,college,pell,pell grants,tuition","education,social cultural,social programs"
"safety,foreign policy",,no topic
no topic,,no topic
no topic,,no topic
environmental,"climate,climate change",environmental
no topic,,no topic
"governance,social cultural",race,social cultural
safety,"the gun,gun violence,gun",safety
"education,environmental,economic","economy,renewable,renewable energy,jobs,education,middle class,paying jobs","economic,education,environmental"
governance,"race,fuel,pacs","environmental,governance,social cultural"
social cultural,,no topic
no topic,,no topic
no topic,,no topic
"covid,health,governance","pandemic,coronavirus,defense production act,coronavirus pandemic",covid
economic,workers,economic
no topic,,no topic
"governance,foreign policy",barr,governance
foreign policy,kingdom,foreign policy
no topic,,no topic
"covid,health","testing,congress,essential","covid,governance"
economic,"supreme court justice,supreme court,economy,trickle down,democracy","economic,governance"
no topic,,no topic
foreign policy,"trade deal,phase two","covid,foreign policy"
no topic,,no topic
no topic,,no topic
no topic,corruption,governance
no topic,,no topic
social cultural,,no topic
no topic,,no topic
environmental,carbon,environmental
no topic,,no topic
social cultural,,no topic
no topic,,no topic
"covid,health,social programs,economic","health insurance,economy,health crisis,health,workers","covid,economic,health,social programs"
immigration,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
foreign policy,democracy,governance
"economic,foreign policy,safety,environmental","foreign,criminal justice,economic,yemen,criminal,foreign policies,criminal justice system","economic,foreign policy,safety"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,shootings,safety
no topic,muslim,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,health,social cultural",abortions,social cultural
immigration,"immigration,immigration system,immigrants,border,border security",immigration
no topic,,no topic
social cultural,color,social cultural
"governance,environmental","climate,climate change,filibuster,corruption","environmental,governance"
governance,impeachment,governance
no topic,,no topic
environmental,"climate,climate change",environmental
safety,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","medicare,medicare for all",social programs
no topic,,no topic
no topic,,no topic
military,,no topic
military,va,military
governance,,no topic
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
economic,,no topic
governance,impeachment,governance
"governance,economic","impeach,impeach the president,jobs,recession,market","economic,governance"
environmental,climate,environmental
"economic,social cultural","racial,economic","economic,social cultural"
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
environmental,"climate,climate crisis",environmental
no topic,,no topic
safety,"criminal justice,criminal,criminal justice system",safety
no topic,,no topic
environmental,"planet,climate",environmental
"social cultural,safety",,no topic
"safety,social cultural","sandra bland,systemic racism,racism,systemic,black lives,black","safety,social cultural"
social cultural,,no topic
no topic,"color,congress","governance,social cultural"
no topic,,no topic
"military,safety,economic","taxes,vets,military","economic,military"
"economic,environmental","climate,economy","economic,environmental"
"governance,safety","bill of rights,protect americans","governance,safety"
"economic,social cultural",black,social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"education,social programs","student,student loan","education,social programs"
no topic,,no topic
economic,"workers,child care","economic,social programs"
no topic,,no topic
