Gold Label,words,m_label
"social programs,economic","jobs,wages,school",economic
economic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,"jobs,giant corporations,corporations,treatment",economic
governance,,no topic
environmental,"fuel companies,climate,fossil fuel,fossil,climate crisis,fuel",environmental
no topic,wealthy,economic
"governance,foreign policy","iran,militarily",foreign policy
"military,foreign policy","u.s. troops,troops,iraqi","foreign policy,military"
"covid,health,economic","economic,covid-19","covid,economic"
"health,social programs,economic","business,employee,healthcare","economic,health,social programs"
no topic,,no topic
governance,surveillance,no topic
governance,impeachment,governance
no topic,,no topic
"health,social programs",drugs,no topic
governance,,no topic
governance,,no topic
"covid,foreign policy,health,immigration","virus,chinese virus,borders,chinese,china","covid,foreign policy,immigration"
"covid,health,social programs","vaccine,coronavirus","covid,social programs"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
economic,,no topic
economic,"businesses,economy",economic
no topic,,no topic
no topic,,no topic
"covid,health","disinfectants,health","covid,health"
economic,"workers,american workers",economic
"immigration,environmental","refugee,climate","environmental,immigration"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,immigration,social cultural,safety","criminal,criminal justice,disabilities,immigration,discrimination","immigration,safety,social cultural"
no topic,,no topic
no topic,,no topic
governance,impeachment,governance
no topic,,no topic
economic,"wealthy,tax",economic
social cultural,,no topic
social cultural,,no topic
governance,,no topic
"social programs,economic",,no topic
"health,social cultural,social programs","color,health,black,health care","health,social cultural,social programs"
no topic,,no topic
"economic,social cultural,immigration","gender,racial",social cultural
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,foreign policy","impeachment,london,kingdom","foreign policy,governance"
no topic,,no topic
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
no topic,,no topic
foreign policy,china,no topic
no topic,,no topic
economic,,no topic
safety,"criminal justice system,criminal,criminal justice",safety
economic,"workers,economy",economic
no topic,,no topic
governance,voting rights,no topic
"governance,safety","consumer,lobbying",governance
no topic,,no topic
no topic,,no topic
"education,social cultural,social programs,economic","pell,tuition-free,public college,college,tuition,hbcus,pell grants","education,social cultural,social programs"
"safety,foreign policy",,no topic
no topic,,no topic
no topic,,no topic
environmental,"climate change,climate",environmental
no topic,,no topic
"governance,social cultural",,no topic
safety,"gun violence,gun",safety
"education,environmental,economic","economy,renewable energy,middle class,jobs,education,renewable,paying jobs","economic,education,environmental"
governance,"fuel,pacs",environmental
social cultural,,no topic
no topic,,no topic
no topic,,no topic
"covid,health,governance","defense production act,pandemic,coronavirus",covid
economic,"workers,giant corporations,corporations",no topic
no topic,,no topic
"governance,foreign policy",barr,no topic
foreign policy,kingdom,foreign policy
no topic,,no topic
"covid,health","testing,essential",covid
economic,economy,economic
no topic,,no topic
foreign policy,"trade deal,china",no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
social cultural,,no topic
no topic,corrupt,no topic
environmental,carbon,environmental
no topic,,no topic
social cultural,,no topic
no topic,,no topic
"covid,health,social programs,economic","health,economy,health crisis,health insurance,workers","covid,economic,health,social programs"
immigration,,no topic
no topic,,no topic
governance,corrupt,no topic
no topic,,no topic
foreign policy,"isis,russia",no topic
"economic,foreign policy,safety,environmental","criminal,economic,criminal justice,yemen,foreign policies,foreign,criminal justice system","economic,foreign policy,safety"
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
safety,shootings,safety
no topic,muslim,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
no topic,,no topic
"governance,health,social cultural",abortions,social cultural
immigration,"immigration system,border security,immigration,immigrants,border",immigration
no topic,,no topic
social cultural,color,social cultural
"governance,environmental","filibuster,climate change,climate","environmental,governance"
governance,impeachment,governance
no topic,,no topic
environmental,"climate change,climate",environmental
safety,,no topic
no topic,,no topic
no topic,,no topic
"health,social programs","alzheimer,medicare,medicare for all",social programs
no topic,,no topic
no topic,,no topic
military,,no topic
military,veterans,no topic
governance,,no topic
no topic,law enforcement,no topic
no topic,,no topic
governance,impeachment,governance
economic,,no topic
governance,"impeachment,corrupt",governance
"governance,economic","impeach the president,recession,jobs,impeach,market,depression","economic,governance"
environmental,climate,environmental
"economic,social cultural","economic,racial","economic,social cultural"
no topic,,no topic
no topic,,no topic
governance,,no topic
no topic,,no topic
environmental,"climate,climate crisis",environmental
no topic,,no topic
