Economic,Environment,Foreign Policy,Immigration,Military,Safety,Social Programs,Social & Cultural,Governance
Fightfor15,air,11-Sep,a wall,Air Force,1994 crime bill,FreedomDividend,AbortionIsAWomansRight,1776
UnionsForAll,Amazon burning,Afghanistan,alien,airman,abusive relationships,healthcare,BlackHistoryMonth,BookerTownHall
1 percent,anti-science,al-Qaeda,America's Promise,Army,addict,HumanityFirstDays,equalpay,ClimateTownHall
2017 Republican tax cuts,atmosphere,amabassador,Angel Families,Army National Guard,addiction,PeopleFirstEducation,equalpayday,CNNTownHall
40 hour work week,biological treasure,American intervention,anti-immigrant,Camp Garfield,addiction crisis,UniversalChildCare,HarveyMilkDay,DebateStage
accumulated wealth,blizzards,annexation policies,asylum,coast guard,addiction treatment,universalhealthcare,MLK,DelaneyDebateChallenge
AFACWA,carbon,AQ,asylum cases,combat veteran,addictive impacts,ACA,MLKDay,demdebate
Affordable and Safe Prescription Drug Importation Act,carbon dioxide,arms race,birtherism,commander,AK-47s,access to care,MLKDay2019,ForThePeople Act
affordable prescription drugs,carbon emissions,attack on Iran,border arrests,D-Day,antifa,Affordable Care Act,SanAntonioPride,gerrymandering
agribusinesses,carbon neutrality,attacks on oil tankers,border crisis,defense contractors,AR-15s,affordable child care,TransMilitaryBan,GillibrandTownHall
agriculture,carbontax,Bejing,border issue,Department of Defense,arm teachers,affordable childcare,WomensHistoryMonth,HR1
American Federation of Teachers,Citizen Campaign,berlin wall,border patrol,deployed,arming teachers,affordable higher education,19th Amendment,IACaucus
American jobs,clean air,Bibi Netanyahu,border secure,deployments,arrest,affordable housing,abolition,MuellerHearings
American workers,clean electricity,Caribbean,border security,drone,arrested,affordablechildcare,abort,MuellerReport
American workforce,clean energy,Chairman Kim,border wall,fighter jets,asbestos,AFT,abortion,NHDems2020 convention
assets,cleanest air,china,building the wall,front lines,assault,alternatives to college,abortions,VoterSuppression
automate,Clear Air Act,cold war,cages,GI Bill,assault rifles,anti-choice,African American,YangTownHall
automating,climate,cyber attacks,cages for kids,island hopping,assault weapons,bettercare,African Americans,2016 election
automation,climate action,deal with Iran,CHANGE Act,JROTC,background check,cancel student debt,African-American,2018 midterms
autoworkers,climate change,denuclearization,child separation,marine,background checks,charter school,Africans,2020 campaign
baby bonds bill,climate crisis,diplomacy,children into cages,Marines,bailed out,charter schools,all female school,2020 election
bailout,climate disruption,embassy,citizen,Memorial Day,box question,Child care,anti-Semitic,2020 Presidential Race
bank,Climate justice,Emmanuel Macron,citizenship,militarism,Brady Campaign,college debt,anti-Semitism,above the law
bank account,climate refugees,fair trade policy,close the border,military action,break the law,copay,Antonio Arce,abuse of power
bank loans,climate science,foreign aid,control our borders,military bases,bump stocks,Debt-Free College Act,apartheid,accountability in congress
bankrupt,ClimateChange,foreign money,country of origin,military budget,cash bail,degree,Asian,administration policy
bankruptcy,ClimateStrike,foreign power,DACA,military career,Charleston church,dental care,Asian American,AG
banks,coal,foreign warship,DACA,military construction projects,clean water,disaster aid,attack on all women,AG Barr
benefit package,DAC,France,denied entry into the U.S.,military contractors,Columbine,disaster relief,bias-motivated,ALEC
better pay,decarbonized,G-7,deportation,military families,committing crimes,doctor's visits,bigotry,amend
big bank,deny science,Golan heights,Dilley,Military housing funds,contaminated water,drop out,black,amendment
big banks,DEP,Gulf of Oman,Dreamer,military industrial complex,controlled substances act,early education,Black Americans,Ankeny Area democrats
big oil,Direct Air Capture Technology,hostage in Yemen,Dreamer's,Military Justice Improvement act,convicted,education,black and Latino,announce my candidacy
big oil companies,Dorian,imperialism,DREAMers,military members,conviction,education system,black communities,Armed Services Committees
big pharma,drilling,international relations,Every Person Counts Act,military readiness,convictions,FEMA,black families,Attorney general
big tech,drilling offshore,International Waters,family separation,paratroopers,cops,fighting child hunger,black lives,Attorney General Barr
big tech companies,drought,Iran,homelands,post-traumatic stress,crime,food assistance,Black lives matter,automatic voter registration
billionaire,dump,Iraq,Homestead Detention Center,Project Welcome Home Troops,crimes,food stamps,BlackHistoryMonth,ballot
billionaire class,EarthDay,Iraq War,ICE,PTSD,criminal,free college,bodies,ballot box
billionaires,earthquake,ISIS,illegial alien,sailor,criminal justice,free community college,body,Barr
booming,earthquakes,Israel,immigrant,service members,criminal justice reform,free public college,Brown v Board,battleground states
booming economy,ecosystem,Israel's right to exist,immigrants,servicemembers,criminal justice system,free universal school meals,Brown v. Board,beat Trump
borrowers,emission,jihadists,immigration,servicemen,criminal-justice reform,Freedom dividend,Brown v. Board of Education,beating donald trump
BP,emission technologies,JulianAssange,immigration detention centers,soldier,cybersecurity,funding for education,brown women,beats trump
bridge,emissions,Kim Jong Un,immigration plan,tanks,decriminalize marijuana,grads,Capital City Pride,big government
bridges,energy,Kim Jong-un,immigration policy,troops,decriminalizing marijuana,graduation rate,Chabad,bipartisan
bring down costs,energy efficient,Korean Peninsula,immigration reform,united states coast guard,detention,gun manufacturers,Chabad of Poway,blue states
bring down the cost,energy policies,Missile Defense review,immigration system,US military,domestic abuse,gun manufacturers & dealers,childbirth,branch of government
budget,energy sources,National Security Action,Johana Medina Leon,USS Boxer,domestic and sexual assault,health care,childbirth-related causes,bypass Congress
Buffett Rule,energy system,NATO,kids in cages,VA,domestic violence,health care system,childcare,cabinet
business,environment,Netanyahu,McAllen,VA hospital,drinking water,health care to all,civil rights,cabinet-level
businesses,environmental,New Zealand,Mexico,VA system,drug,health coverage,Civil Rights Act,cabinet-level agency
buying homes,Environmental Protection Agency,Nicolas Maduro,migrant,veteran,drug laws,health insurance,color of,campaign contributors
capital gains,environmentalists,No More Presidential Wars Act,migrant justice,veteran,drug overdoses,health insurance companies,color of his skin,campaign finance
Capitalism,EPA,North Korea,migrants,veterans,drugs,healthcare,color of our skin,campaign kickoff
capitalist,flood,nuclear,national origin,Veterans Affairs Committee,Edward Douglas,homeless,contempt for women,campaign launch
carpenters,flooding,nuclear arms,native born,Veterans unemployment,eliminate cash bail,homelessness,contraception,campaign team
Catalyst Pharmaceuticals,forest fires,nuclear powers,open borders,vets,Emma Gonzalez,housing,contraceptives,campaigning
Central South Carpenters,fossil fuel,nuclear technology,our border,Wright-Patterson Air Force Base,Eric Garner,housing issues,Council on American Islamic Relations,candidate for President
CEO,fossil fuel companies,Nuclear Weapons,PeopleFirst,Youngstown Air Reserve Base,ex-felons,housing plan,cultural inclusivity,canvass
CFPB,fossil fuel industry,nuke,refuge,,ex-offenders,housing policy,desegregate,CARERS
charge any price,fossil fuels,offshore drilling,refugee,,expunge,invest in kids,disability,cast ballots
clean economy,fracking,Palestinian,refugees,,expunge marijuana use,invested in kids,discrimatory,caucus
Coal Association,fuel,Palestinians,secure our borders,,expunge the records,K-12,discriminate,censorship
coal miners,gas,Panjab,seeking refuge,,expungement,LGBTQ,discrimination,census
Coal operators,gas wells,Prime Minister,separated children,,expunging records,low-cost tuition,discriminatory,Center for American Progress Ideas
commerce,global warming,queen,separating families,,fatally shot,lunch debt,disenfranchise,chief of staff
companies,globe,russia,southern border,,Federal marijuana policy,medicaid,disenfranchised,chip in
compensation,green economy,russia hoax,splitting up families,,firearm,medical cannabis,diversity,chipped in
competition,green job,russian,steel barrier,,first responders,medical marijuana,division and hate,chipping in
consumerism,Green New Deal,Russian hacking,temporary Protected Status,,First Step Act,medicare,Dr. King,Citizens United
consumers,greenhouse gas emissions,Russianinterference,the border,,Flint,Medicare for All,Dr. Martin Luther King,clean bill
corporate,greenhouse gasses,sanctions,the wall,,Gabby Giffords,medicare-for-all,Dr. Martin Luther King Jr.,collusion
corporate greed,GreenNewDeal,Saudi,TPS,,gangs,misogynist,EACH Woman Act,committee meetings
corporate imperialism,greennewdeal,Saudi Arabia,undocumented,,Giffords,national service plan,Easter,Compassionate Access
corporate relocation and expansion,Greta Thunberg,Saudis,,,gun,national service program,Easter Sunday,Congressional Gold Medal
corporate socialism,hurricane,Scotland,,,gun control,National Weekend of Action,Edmund Pettus,constitution
corporate welfare,hurricanes,September 11th,,,gun reform,NationalService policy,education for females,constitutional
corporation,ice melt,Sri Lanka,,,gun regulations,Native American,Elie Wiesel,constitutional amendment
corporations,Katrina,Syria,,,gun safety,NEA,empower women,constitutional duties
cost of living,majestic lands,TariffWar,,,gun safety reform,obamacare,equal rights,constitutional right
